'7.2092833333333335', '79.93737666666667'
'7.208951666666667', '79.93951666666666'
'7.209293333333333', '79.93736833333334'
'7.209293333333333', '79.93737'
'7.209295', '79.93737166666666'
'7.209293333333333', '79.937375'
'7.209293333333333', '79.93738666666667'
'7.20932', '79.9375'
'7.209316666666667', '79.937495'
'7.2092616666666665', '79.93746666666667'
'7.20932', '79.93744166666667'
'7.209316666666667', '79.93740166666667'
'7.209318333333333', '79.93738666666667'
'7.209321666666667', '79.937385'
'7.208943333333333', '79.939535'
'7.208943333333333', '79.93953333333333'
'7.20895', '79.93953'
'7.2089533333333335', '79.93953833333333'
'7.208955', '79.93953666666667'
'7.208943333333333', '79.93951666666666'
'7.208963333333333', '79.93952166666666'
'7.2089566666666665', '79.93950833333334'
'7.20897', '79.939505'
'7.208983333333333', '79.939505'
'7.20899', '79.93950333333333'
'7.209021666666667', '79.939575'
'7.209025', '79.939565'
'7.2090733333333334', '79.939545'
'7.2090733333333334', '79.93954333333333'
'7.2090733333333334', '79.93955'
'7.209075', '79.939555'
'7.20914', '79.93956333333334'
'7.209305', '79.93954'
'7.209895', '79.93941'
'7.210673333333333', '79.93939666666667'
'7.210748333333333', '79.93893166666666'
'7.210805', '79.93750666666666'
'7.210765', '79.937015'
'7.210768333333333', '79.93701833333333'
'7.21077', '79.93702166666667'
'7.210771666666667', '79.93702166666667'
'7.21077', '79.93702333333333'
'7.2107616666666665', '79.93702333333333'
'7.209333333333333', '79.937365'
'7.209335', '79.937365'
'7.209325', '79.93735'
'7.209286666666666', '79.937335'
'7.209286666666666', '79.937365'
'7.209333333333333', '79.93738166666667'
'7.20933', '79.93738833333333'
'7.2093316666666665', '79.93738666666667'
'7.209336666666666', '79.93738333333333'
'7.210635', '79.93701333333334'
'7.210638333333334', '79.93701333333334'
'7.21064', '79.93701333333334'
'7.210558333333333', '79.93699666666667'
'7.210201666666666', '79.93695666666666'
'7.2098466666666665', '79.93690333333333'
'7.209716666666667', '79.93690333333333'
'7.209573333333333', '79.93684'
'7.209315', '79.93714166666666'
'7.209296666666667', '79.93734166666667'
'7.209295', '79.93734333333333'
'7.209285', '79.93736833333334'
'7.209268333333333', '79.93739333333333'
'7.209275', '79.93739166666667'
'7.20928', '79.93738833333333'
'7.209281666666667', '79.937385'
'7.209338333333333', '79.937375'
'7.20934', '79.937375'
'7.2093316666666665', '79.93737833333333'
'7.209325', '79.93738333333333'
'7.209231666666667', '79.937455'
'7.209226666666667', '79.937425'
'7.209231666666667', '79.93738'
'7.209273333333333', '79.937005'
'7.209338333333333', '79.93691166666666'
'7.209631666666667', '79.93689833333333'
'7.20996', '79.93693833333333'
'7.210211666666667', '79.93696666666666'
'7.210506666666666', '79.93699166666667'
'7.21053', '79.93699'
'7.210531666666666', '79.93699166666667'
'7.210531666666666', '79.93699333333333'
'7.210533333333333', '79.936995'
'7.210536666666667', '79.93699666666667'
'7.210536666666667', '79.93699833333334'
'7.210535', '79.93699833333334'
'7.210533333333333', '79.937'
'7.210626666666666', '79.93700666666666'
'7.210686666666667', '79.93701'
'7.210721666666666', '79.93701333333334'
'7.210725', '79.93701166666666'
'7.2107866666666665', '79.937015'
'7.210846666666667', '79.93705333333334'
'7.210836666666666', '79.93712'
'7.210816666666666', '79.93797166666667'
'7.210801666666667', '79.93911'
'7.21071', '79.93941166666667'
'7.210645', '79.9394'
'7.210028333333334', '79.93938833333333'
'7.209381666666666', '79.93948666666667'
'7.20921', '79.939475'
'7.209158333333333', '79.93949666666667'
'7.209098333333333', '79.93951833333334'
'7.20905', '79.939545'
'7.20902', '79.93956666666666'
'7.209021666666667', '79.93957833333333'
'7.209031666666666', '79.93958'
'7.209023333333334', '79.93958666666667'
'7.209018333333334', '79.93958833333333'
'7.209015', '79.93957'
'7.20903', '79.93958'
'7.209031666666666', '79.939575'
'7.20903', '79.939565'
'7.20903', '79.93956666666666'
'7.209028333333333', '79.93955666666666'
'7.209028333333333', '79.93955333333334'
'7.209028333333333', '79.93954666666667'
'7.209028333333333', '79.93954833333333'
'7.209041666666667', '79.93952833333333'
'7.20904', '79.93951833333334'
'7.209036666666667', '79.939515'
'7.209035', '79.93951833333334'
'7.209038333333333', '79.93951833333334'
'7.209053333333333', '79.939525'
'7.209051666666666', '79.93953166666667'
'7.209046666666667', '79.93953666666667'
'7.209033333333333', '79.93955166666667'
'7.209036666666667', '79.939555'
'7.209038333333333', '79.93955833333334'
'7.209043333333334', '79.93955833333334'
'7.20903', '79.93956833333333'
'7.2090266666666665', '79.93957'
'7.209025', '79.93957166666667'
'7.20935', '79.93955333333334'
'7.21015', '79.939425'
'7.2106216666666665', '79.93940833333333'
'7.21074', '79.93965166666666'
'7.210815', '79.94100666666667'
'7.211051666666667', '79.942405'
'7.211421666666666', '79.94394666666666'
'7.211761666666667', '79.94541833333334'
'7.212016666666667', '79.94705'
'7.2121683333333335', '79.94867666666667'
'7.212225', '79.95042333333333'
'7.212251666666667', '79.95224833333333'
'7.212066666666667', '79.953985'
'7.21173', '79.95572333333334'
'7.211308333333333', '79.957235'
'7.21094', '79.95860333333333'
'7.210598333333333', '79.96041333333334'
'7.210405', '79.962065'
'7.210085', '79.96388'
'7.209461666666667', '79.96551166666667'
'7.208891666666666', '79.96666833333333'
'7.208946666666667', '79.966785'
'7.2091', '79.966855'
'7.21012', '79.967405'
'7.211688333333333', '79.968275'
'7.21326', '79.96869666666667'
'7.214848333333333', '79.96904833333333'
'7.216601666666667', '79.96947833333333'
'7.218475', '79.9701'
'7.220206666666667', '79.97056166666667'
'7.22198', '79.971105'
'7.223768333333333', '79.97174333333334'
'7.225456666666667', '79.97218333333333'
'7.225793333333334', '79.97215166666666'
'7.227275', '79.97180333333333'
'7.229113333333333', '79.97138833333334'
'7.23001', '79.97135833333333'
'7.231311666666667', '79.97127666666667'
'7.231416666666667', '79.97128333333333'
'7.231541666666667', '79.97130166666666'
'7.231556666666667', '79.971655'
'7.231466666666667', '79.97270166666667'
'7.231301666666667', '79.97423333333333'
'7.231163333333333', '79.97583'
'7.2309616666666665', '79.97758333333333'
'7.230731666666666', '79.979535'
'7.230526666666667', '79.98123833333334'
'7.230273333333333', '79.98316166666666'
'7.230051666666666', '79.984745'
'7.229843333333333', '79.986035'
'7.22962', '79.98737666666666'
'7.229395', '79.98867666666666'
'7.229168333333333', '79.99000333333333'
'7.228883333333333', '79.99172166666666'
'7.228586666666667', '79.99346833333334'
'7.228283333333334', '79.99533333333333'
'7.227988333333333', '79.99721833333334'
'7.227703333333333', '79.99893333333333'
'7.227525', '79.999955'
'7.227206666666667', '80.00176'
'7.226891666666667', '80.003575'
'7.2265733333333335', '80.00544333333333'
'7.226275', '80.00719333333333'
'7.225965', '80.00896333333333'
'7.22567', '80.01078666666666'
'7.225428333333333', '80.01274'
